0, 0
3.88285, 2.08881
9.03188, 3.01423
9.03188, 4.33968
9.03188, 4.98555
9.03188, 5.24059
9.03188, 5.67995
9.03188, 5.69245
9.03188, 5.90458
9.03188, 5.90458
15.4064, 6.47713
15.4064, 6.59473
15.4064, 6.7216
15.4064, 6.78974
15.4064, 7.13406
15.4064, 7.17486
15.4064, 7.17486
15.4064, 7.17486
15.4064, 7.53219
15.4064, 7.5561
15.4064, 7.5636
15.4064, 7.85648
15.4064, 8.32006
15.4064, 8.43115
15.4064, 8.43115
15.4064, 8.57889
15.4064, 8.57889
15.4064, 8.57889
15.4064, 8.57889
15.4064, 8.57889
15.4064, 0.143875
15.4064, 2.99806
15.4064, 3.67124
15.4064, 4.22995
15.4064, 5.0439
15.4064, 5.11622
15.4064, 5.5169
15.4064, 5.6467
15.4064, 5.86579
15.4064, 6.0018
15.4064, 6.53246
15.4064, 6.98342
15.4064, 6.98342
15.4064, 7.165
